Название товара;Сорт;Кол-во;Базовая цена;Цена за ед.;;;
Плитка тротуарная гладкая 2.П.4 оранжевая;1 сорт;1,20;960;960;;;
Плитка тротуарная гладкая 2.П.4 серая 2 сорт;2 сорт;17.88;820;410;;;
Плитка тротуарная гладкая 2.П.4 черная 2 сорт;2 сорт;38.40;950;475;;;
Плитка тротуарная гладкая 2.П.6 белая;1 сорт;31.04;1100;1100;;;
Плитка тротуарная гладкая 2.П.6 белая 2 сорт;2 сорт;15.84;1100;550;;;
Плитка тротуарная гладкая 2.П.6 желтая;1 сорт;27.58;1110;1110;;;
Плитка тротуарная гладкая 2.П.6 коричневая;1 сорт;18.44;1100;1100;;;
Плитка тротуарная гладкая 2.П.6 красная;1 сорт;7,46;1100;1100;;;
Плитка тротуарная гладкая 2.П.6 меланж оникс;1 сорт;39.00;1550;1550;;;
Плитка тротуарная гладкая 2.П.6 меланж оникс 2 сорт;2 сорт;0.96;1550;775;;;
Плитка тротуарная гладкая 2.П.6 меланж осень;1 сорт;20.60;1550;1550;;;
Плитка тротуарная гладкая 2.П.6 меланж осень 2 сорт;2 сорт;15.76;1550;775;;;
Плитка тротуарная гладкая 2.П.6 меланж яшма;1 сорт;60.76;1550;1550;;;
Плитка тротуарная гладкая 2.П.6 меланж яшма 2 сорт;2 сорт;3,84;1550;775;;;
Плитка тротуарная гладкая 2.П.6 оранжевая;1 сорт;11,02;1110;1110;;;
Плитка тротуарная гладкая 2.П.6 серая;1 сорт;27.90;1000;1000;;;
Плитка тротуарная гладкая 2.П.6 черная;1 сорт;127.70;1100;1100;;;
Плитка тротуарная гладкая 2.П.6 черная 2 сорт;2 сорт;7,18;1100;550;;;
"Плитка тротуарная гранитная 2.У.6 ""Урико"" белая";1 сорт;14.64;1550;1550;;;
"Плитка тротуарная гранитная 2.У.6 ""Урико"" меланж  осень";1 сорт;46.35;1650;1650;;;
"Плитка тротуарная гранитная 2.У.6 ""Урико"" меланж яшма";1 сорт;8,73;1650;1650;;;
"Плитка тротуарная гранитная 2.У.6 ""Урико"" серая";1 сорт;16.78;1400;1400;;;
"Плитка тротуарная гранитная 2.У.6 ""Урико"" чёрная";1 сорт;17.64;1500;1500;;;
Плитка тротуарная гранитная 2.КО.4 белая;1 сорт;67.25;1400;1400;;;
Плитка тротуарная гранитная 2.КО.4 коричневая;1 сорт;44.95;1400;1400;;;
Плитка тротуарная гранитная 2.КО.4 красная;1 сорт;7,80;1400;1400;;;
Плитка тротуарная гранитная 2.КО.4 красная 2 сорт;2 сорт;9,45;1400;700;;;
Плитка тротуарная гранитная 2.КО.4 меланж оникс;1 сорт;19.90;1500;1500;;;
Плитка тротуарная гранитная 2.КО.4 меланж осень;1 сорт;613.80;1500;1500;;;
Плитка тротуарная гранитная 2.КО.4 меланж яшма;1 сорт;148.53;1500;1500;;;
Плитка тротуарная гранитная 2.КО.4 меланж яшма 2 сорт;2 сорт;3,60;1500;750;;;
Плитка тротуарная гранитная 2.КО.4 оранжевая;1 сорт;9,65;1450;1450;;;
Плитка тротуарная гранитная 2.КО.4 оранжевая 2 сорт;2 сорт;5,60;1450;725;;;
Плитка тротуарная гранитная 2.КО.4 чёрная;1 сорт;9,95;1400;1400;;;
Плитка тротуарная гранитная 2.КО.4 чёрная 2 сорт;2 сорт;7.00;1400;700;;;
Плитка тротуарная гранитная 2.КО.6 белая;1 сорт;3,50;1550;1550;;;
Плитка тротуарная гранитная 2.КО.6 желтая;1 сорт;33.80;1650;1650;;;
Плитка тротуарная гранитная 2.КО.6 красная;1 сорт;2,80;1500;1500;;;
Плитка тротуарная гранитная 2.КО.6 меланж оникс;1 сорт;67.90;1650;1650;;;
Плитка тротуарная гранитная 2.КО.6 меланж оникс 2 сорт;2 сорт;0.80;1650;825;;;
Плитка тротуарная гранитная 2.КО.6 меланж осень;1 сорт;134.44;1650;1650;;;
Плитка тротуарная гранитная 2.КО.6 меланж яшма;1 сорт;147.20;1650;1650;;;
Плитка тротуарная гранитная 2.КО.6 меланж яшма 2 сорт;2 сорт;3,15;1650;825;;;
Плитка тротуарная гранитная 2.КО.6 серая;1 сорт;25.90;1400;1400;;;
Плитка тротуарная гранитная 2.К.4 черная 2сорт;2 сорт;45.12;1350;775;;;
Плитка тротуарная гранитная 2.К.6 белая;1 сорт;41.80;1500;1500;;;
Плитка тротуарная гранитная 2.К.6 белая 2 сорт;2 сорт;2,40;1500;750;;;
Плитка тротуарная гранитная 2.К.6 желтая;1 сорт;10,84;1650;1650;;;
Плитка тротуарная гранитная 2.К.6 коричневая;1 сорт;66.72;1500;1500;;;
Плитка тротуарная гранитная 2.К.6 красная;1 сорт;62.32;1500;1500;;;
Плитка тротуарная гранитная 2.К.6 меланж осень;1 сорт;26.40;1650;1650;;;
Плитка тротуарная гранитная 2.К.6 серая;1 сорт;82.32;1400;1400;;;
Плитка тротуарная гранитная 2.К.6 серая 2 сорт;2 сорт;13.44;1400;700;;;
Плитка тротуарная гранитная 2.П.4 желтая;1 сорт;0.92;1450;1450;;;
Плитка тротуарная гранитная 2.П.4 коричневая;1 сорт;22.90;1350;1350;;;
Плитка тротуарная гранитная 2.П.4 красная;1 сорт;12,80;1350;1350;;;
Плитка тротуарная гранитная 2.П.4 красная 2 сорт;2 сорт;0.80;1350;675;;;
Плитка тротуарная гранитная 2.П.4 меланж осень 2 сорт;2 сорт;0.80;1500;1500;;;
Плитка тротуарная гранитная 2.П.4 меланж рубин;1 сорт;0.40;1500;1500;;;
Плитка тротуарная гранитная 2.П.4 меланж яшма;1 сорт;24.00;1500;1500;;;
Плитка тротуарная гранитная 2.П.4 серая;1 сорт;45.70;1150;1500.00;;;
Плитка тротуарная гранитная 2.П.4 серая 2 сорт;2 сорт;68.16;1150;750.00;;;
Плитка тротуарная гранитная 2.П.4 черная;1 сорт;10,68;1350;1350;;;
Плитка тротуарная гранитная 2.П.4 черная 2 сорт;2 сорт;28.80;1350;675;;;
Плитка тротуарная гранитная 2.П.6 белая;1 сорт;19.22;1500;1500;;;
Плитка тротуарная гранитная 2.П.6 желтая;1 сорт;47.00;1650;1650;;;
Плитка тротуарная гранитная 2.П.6 коричневая;1 сорт;14,00;1500;1500;;;
Плитка тротуарная гранитная 2.П.6 красная;1 сорт;6,40;1500;1500;;;
Плитка тротуарная гранитная 2.П.6 меланж осень;1 сорт;104.52;1650;1650;;;
Плитка тротуарная гранитная 2.П.6 меланж осень 2 сорт;2 сорт;24.48;1650;1650;;;
Плитка тротуарная гранитная 2.П.6 меланж яшма;1 сорт;151.60;1650;825;;;
Плитка тротуарная гранитная 2.П.6 серая;1 сорт;26.20;1400;1400;;;
Плитка тротуарная гранитная 2.П.6 серая 2 сорт;2 сорт;38.84;1400;700;;;
Плитка тротуарная гранитная 2.П.6 черная;1 сорт;0.20;1500;1500;;;
Полублок;1 сорт;12.00;40;40;;;
Поребрик  серый 2 сорт;2 сорт;37.00;320;160;;;
Поребрик белый 2 сорт;2 сорт;6.00;440;220;;;
Поребрик гранит коричневый;1 сорт;27.00;550;550;;;
Поребрик гранит коричневый 2сорт;2 сорт;5.00;550;275;;;
Поребрик гранит меланж оникс;1 сорт;83.00;750;750;;;
Поребрик гранит меланж оникс  2сорт;2 сорт;22.00;750;375;;;
Поребрик гранит серый;1 сорт;9.00;470;470;;;
Поребрик гранит меланж яшма;1 сорт;184.00;750;750;;;
Поребрик гранит меланж яшма 2 сорт;2 сорт;29.00;750;375;;;
Поребрик гранитный меланж осень;1 сорт;354.00;750;750;;;
Поребрик гранитный меланж осень 2 сорт;2 сорт;39.00;750;375;;;
Поребрик желтый;1 сорт;368.00;440;440;;;
Поребрик желтый 2 сорт;2 сорт;10.00;440;220;;;
Поребрик коричневый;1 сорт;69.00;440;440;;;
Поребрик коричневый 2 сорт;2 сорт;108.00;440;220;;;
Поребрик красный;1 сорт;9.00;440;440;;;
Поребрик красный 2 сорт;2 сорт;6.00;440;220;;;
Поребрик оранжевый;1 сорт;74.00;440;440;;;
Поребрик оранжевый 2 сорт;2 сорт;98.00;440;220;;;
Поребрик меланж осень 2 сорт;2 сорт;72.00;680;340;;;
Поребрик меланж рубин;1 сорт;10.00;680;680;;;
Поребрик серый;1 сорт;475.00;320;320;;;
Поребрик серый 2 сорт;2 сорт;607.00;320;160;;;
Поребрик черный;1 сорт;32.00;440;440;;;
Поребрик меланж яшма;1 сорт;63.00;680;680;;;
Эксперементальная Плитка тротуарная гранитная 2.К.4 белая;1 сорт;27.20;1350;945;;;
"Эксперементальная Плитка тротуарная гладкая 2.У.6 ""Урико"" меланж оникс";1 сорт;20.52;1650;1155;;;
Эксперементальная Плитка тротуарная гладкая 2.КО.6 серая;1 сорт;4,55;1450;1015;;;
Эксперементальная Плитка тротуарная гладкая 2.П.6 меланж осень;1 сорт;25.20;1550;1085;;;
Эксперементальная Плитка тротуарная гранитная 2.К.6 белая;1 сорт;12.00;1500;1050;;;
Эксперементальная Плитка тротуарная гранитная 2.П.4 белая;1 сорт;10,80;1350;945;;;
Эксперементальная Плитка тротуарная гранитная 2.П.6 меланж оникс;1 сорт;8.00;1650;1155;;;
Эксперементальная Плитка тротуарная гранитная 2.П.6 меланж яшма;1 сорт;19.20;1650;1155;;;
Экспериментальная Плитка тротуарная гранитная 2.К.6 чёрная;1 сорт;4,60;1500;1050;;;
Экспериментальная Плитка тротуарная гранитная 2.П.6 белая;1 сорт;73.68;1500;1050;;;
" Эксперементальная Плита тротуарная гладкая 1.СМ.8 ""Сити-микс"" 8 серая";1 сорт;18.00;1450;1015;;;
Эксперементальная Плитка тротуарная гранитная 2.КО.6 меланж яшма;1 сорт;78.15;1650;1155;;;
;;;;;;;
ИТОГО ПО СКЛАДУ;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;Бордюр дорожный серый;Бордюр дорожный 1000х300х150 Гладкий Серый
;;;;;;"Бордюр дорожный меланж ""осень""";Бордюр дорожный 1000х300х150  Меланж Гладкий Осень
;;;;;;"Плита тротуарная гранитная 1.СМ.8 ""Сити-микс"" осень";Тротуарная плитка СИТИ-МИКС - 1.СМ.8 80мм Меланж Гладкая Осень
;;;;;;"Плита тротуарная гранитная 1.СМ.8 ""Сити-микс"" осень 2сорт";2 сорт от предыдущей строки
;;;;;;Полублок;Добавляем в базу
;;;;;;Поребрик желтый;Поребрик 1000х200х80 Гладкий Желтый
;;;;;;Поребрик коричневый;Поребрик 1000х200х80 Гладкий Коричневый
;;;;;;Поребрик красный;Поребрик 1000х200х80 Гладкий Красный
;;;;;;Поребрик оранжевый;Поребрик 1000х200х80 Гладкий Оранжевый
;;;;;;Поребрик меланж рубин;Поребрик 1000х200х80 Меланж Гладкий Рубин
;;;;;;Поребрик серый;Поребрик 1000х200х80 Гладкий Серый
;;;;;;Поребрик черный;Поребрик 1000х200х80 Гладкий Черный
;;;;;;Поребрик меланж яшма;Поребрик 1000х200х80 Меланж Гладкий Яшма
