base_id;category;base_name;unit;price;dealer_price;weight_kg;qty_per_cycle;mold_id;gost_mark;article;mix_main_tpl;mix_face_tpl;item_type;amortization_per_cycle;new_name;new_price;new_dealer_price;new_article;default_warehouse_id
476;Бордюры и поребрики;Бордюр дорожный 1000х300х150 Меланж Гранит Янтарь;шт;1030.00;0.00;100.000000;3.0000;21;ТУ 23.61.11-002-50829991-2023;PL-476;main_bor_dor;face_mel_gr_amber;product;0.00;Бордюр дорожный 1000х300х150 Меланж Гранит Янтарь 2 сорт;515.0;0.0;PL-4762S;5
475;Бордюры и поребрики;Бордюр дорожный 1000х300х150 Меланж Гранит Яшма;шт;1030.00;0.00;100.000000;3.0000;21;ТУ 23.61.11-002-50829991-2023;PL-475;main_bor_dor;face_mel_gr_jasper;product;0.00;Бордюр дорожный 1000х300х150 Меланж Гранит Яшма 2 сорт;515.0;0.0;PL-4752S;5
481;Бордюры и поребрики;Бордюр магистральный 1000х300х180 Гладкий Белый;шт;1030.00;845.00;120.000000;3.0000;22;ТУ 23.61.11-003-50829991-2023;PL-481;main_bor_mag;face_smooth_white;product;0.00;Бордюр магистральный 1000х300х180 Гладкий Белый 2 сорт;515.0;422.5;PL-4812S;5
482;Бордюры и поребрики;Бордюр магистральный 1000х300х180 Гладкий Желтый;шт;1030.00;0.00;120.000000;3.0000;22;ТУ 23.61.11-003-50829991-2023;PL-482;main_bor_mag;face_smooth_yellow;product;0.00;Бордюр магистральный 1000х300х180 Гладкий Желтый 2 сорт;515.0;0.0;PL-4822S;5
479;Бордюры и поребрики;Бордюр магистральный 1000х300х180 Гладкий Коричневый;шт;1030.00;0.00;120.000000;3.0000;22;ТУ 23.61.11-003-50829991-2023;PL-479;main_bor_mag;face_smooth_brown;product;0.00;Бордюр магистральный 1000х300х180 Гладкий Коричневый 2 сорт;515.0;0.0;PL-4792S;5
478;Бордюры и поребрики;Бордюр магистральный 1000х300х180 Гладкий Красный;шт;1030.00;0.00;120.000000;3.0000;22;ТУ 23.61.11-003-50829991-2023;PL-478;main_bor_mag;face_smooth_red;product;0.00;Бордюр магистральный 1000х300х180 Гладкий Красный 2 сорт;515.0;0.0;PL-4782S;5
483;Бордюры и поребрики;Бордюр магистральный 1000х300х180 Гладкий Оранжевый;шт;1030.00;0.00;120.000000;3.0000;22;ТУ 23.61.11-003-50829991-2023;PL-483;main_bor_mag;face_smooth_orange;product;0.00;Бордюр магистральный 1000х300х180 Гладкий Оранжевый 2 сорт;515.0;0.0;PL-4832S;5
477;Бордюры и поребрики;Бордюр магистральный 1000х300х180 Гладкий Серый;шт;950.00;906.00;120.000000;3.0000;22;ТУ 23.61.11-003-50829991-2023;PL-477;main_bor_mag;face_smooth_grey;product;0.00;Бордюр магистральный 1000х300х180 Гладкий Серый 2 сорт;475.0;453.0;PL-4772S;5
480;Бордюры и поребрики;Бордюр магистральный 1000х300х180 Гладкий Черный;шт;1030.00;0.00;120.000000;3.0000;22;ТУ 23.61.11-003-50829991-2023;PL-480;main_bor_mag;face_smooth_black;product;0.00;Бордюр магистральный 1000х300х180 Гладкий Черный 2 сорт;515.0;0.0;PL-4802S;5
493;Бордюры и поребрики;Бордюр магистральный 1000х300х180 Гранит Белый;шт;1100.00;845.00;120.000000;3.0000;22;ТУ 23.61.11-003-50829991-2023;PL-493;main_bor_mag;face_granite_white;product;0.00;Бордюр магистральный 1000х300х180 Гранит Белый 2 сорт;550.0;422.5;PL-4932S;5
