id_2sort;category;name_2sort;weight;qty;mold_id;gost;article;base_id;base_weight;base_qty;base_mold;base_gost
546;Плитка гранитная;Тротуарная плитка ПАРКЕТ - 1.ПР.8 80мм Гранит Белая 2 сорт;0.000000;1.0000;;;;397;183.600000;0.6800;17;ТУ 23.61.11-001-50829991-2023
547;Плитка гранитная;Тротуарная плитка ПАРКЕТ - 1.ПР.8 80мм Гранит Коричневая 2 сорт;0.000000;0.6800;17;;PL-3952S;395;183.600000;0.6800;17;ТУ 23.61.11-001-50829991-2023
550;Плитка гранитная;Тротуарная плитка ПАРКЕТ - 1.ПР.8 80мм Гранит Серая 2 сорт;0.000000;1.0000;;;;393;183.600000;0.6800;17;ТУ 23.61.11-001-50829991-2023
551;Плитка гранитная;Тротуарная плитка ПЛИТА - 3.П.8 80мм Гранит Серая 2 сорт;0.000000;1.0000;;;;417;216.050000;0.5400;18;ТУ 23.61.11-001-50829991-2023
552;Плитка гранитная;Тротуарная плитка ПЛИТА - 3.П.8 80мм Гранит Черная 2 сорт;0.000000;1.0000;;;;420;216.050000;0.5400;18;ТУ 23.61.11-001-50829991-2023
553;Плитка гранитная;Тротуарная плитка КВАДРАТ - 2.К.4 40мм Гранит Белая 2 сорт;0.000000;0.8000;8;;2K4-GuB2S;229;90.280000;0.8000;8;ТУ 23.61.11-001-50829991-2023
577;Плитка гранитная;Тротуарная плитка КЛАССИКО - 2.КО.4 40мм Гранит Красная 2 сорт;0.000000;1.0000;;;;274;86.270000;0.7000;15;ТУ 23.61.11-001-50829991-2023
579;Плитка гранитная;Тротуарная плитка КЛАССИКО - 2.КО.4 40мм Гранит Оранжевая 2 сорт;0.000000;1.0000;;;;279;86.270000;0.7000;15;ТУ 23.61.11-001-50829991-2023
580;Плитка гранитная;Тротуарная плитка КЛАССИКО - 2.КО.4 40мм Гранит Черная 2 сорт;0.000000;1.0000;;;;276;86.270000;0.7000;15;ТУ 23.61.11-001-50829991-2023
583;Плитка гранитная;Тротуарная плитка КВАДРАТ - 2.К.4 40мм Гранит Черная 2 сорт;0.000000;1.0000;;;;228;90.280000;0.8000;8;ТУ 23.61.11-001-50829991-2023
584;Плитка гранитная;Тротуарная плитка КВАДРАТ - 2.К.6 60мм Гранит Белая 2 сорт;0.000000;0.8000;9;;PL-2532S;253;135.160000;0.8000;9;ТУ 23.61.11-001-50829991-2023
585;Плитка гранитная;Тротуарная плитка КВАДРАТ - 2.К.6 60мм Гранит Серая 2 сорт;0.000000;1.0000;;;;249;135.160000;0.8000;9;ТУ 23.61.11-001-50829991-2023
586;Плитка гранитная;Тротуарная плитка ПРЯМОУГОЛЬНИК - 2.П.4 40мм Гранит Красная 2 сорт;0.000000;1.0000;;;;178;90.280000;0.8000;10;ТУ 23.61.11-001-50829991-2023
588;Плитка гранитная;Тротуарная плитка ПРЯМОУГОЛЬНИК - 2.П.4 40мм Гранит Серая 2 сорт;0.000000;1.0000;;;;177;90.280000;0.8000;10;ТУ 23.61.11-001-50829991-2023
589;Плитка гранитная;Тротуарная плитка ПРЯМОУГОЛЬНИК - 2.П.4 40мм Гранит Черная 2 сорт;0.000000;1.0000;;;;180;90.280000;0.8000;10;ТУ 23.61.11-001-50829991-2023
591;Плитка гранитная;Тротуарная плитка ПРЯМОУГОЛЬНИК - 2.П.6 60мм Гранит Серая 2 сорт;0.000000;1.0000;;;;201;135.160000;0.8000;11;ТУ 23.61.11-001-50829991-2023
610;Плитка гранитная;Тротуарная плитка КЛАССИКО - 2.КО.6 60мм Гранит Черная 2 сорт;129.460000;0.7000;16;;PL-3002S;300;129.460000;0.7000;16;ТУ 23.61.11-001-50829991-2023
